2021-12-02 16:10:29 status unpacked keyutils:amd64 1.5.9-9.2ubuntu2
2021-12-02 16:10:29 status half-configured keyutils:amd64 1.5.9-9.2ubuntu2
2021-12-02 16:10:29 status installed keyutils:amd64 1.5.9-9.2ubuntu2
2021-12-02 16:10:29 configure libpython2.7-stdlib:amd64 2.7.17-1~18.04ubuntu1.6 <none>
2021-12-02 16:10:29 status unpacked libpython2.7-stdlib:amd64 2.7.17-1~18.04ubuntu1.6
2021-12-02 16:10:29 status half-configured libpython2.7-stdlib:amd64 2.7.17-1~18.04ubuntu1.6
2021-12-02 16:10:29 status installed libpython2.7-stdlib:amd64 2.7.17-1~18.04ubuntu1.6
2021-12-02 16:10:29 configure python2.7:amd64 2.7.17-1~18.04ubuntu1.6 <none>
2021-12-02 16:10:29 status unpacked python2.7:amd64 2.7.17-1~18.04ubuntu1.6
2021-12-02 16:10:29 status half-configured python2.7:amd64 2.7.17-1~18.04ubuntu1.6
2021-12-02 16:10:29 status installed python2.7:amd64 2.7.17-1~18.04ubuntu1.6
2021-12-02 16:10:29 configure libpython-stdlib:amd64 2.7.15~rc1-1 <none>
2021-12-02 16:10:29 status unpacked libpython-stdlib:amd64 2.7.15~rc1-1
2021-12-02 16:10:29 status half-configured libpython-stdlib:amd64 2.7.15~rc1-1
2021-12-02 16:10:29 status installed libpython-stdlib:amd64 2.7.15~rc1-1
2021-12-02 16:10:29 configure python:amd64 2.7.15~rc1-1 <none>
2021-12-02 16:10:29 status unpacked python:amd64 2.7.15~rc1-1
2021-12-02 16:10:29 status half-configured python:amd64 2.7.15~rc1-1
2021-12-02 16:10:29 status installed python:amd64 2.7.15~rc1-1
2021-12-02 16:10:29 configure python-parted:amd64 3.11.1-1ubuntu2 <none>
2021-12-02 16:10:29 status unpacked python-parted:amd64 3.11.1-1ubuntu2
2021-12-02 16:10:29 status half-configured python-parted:amd64 3.11.1-1ubuntu2
2021-12-02 16:10:30 status installed python-parted:amd64 3.11.1-1ubuntu2
2021-12-02 16:10:30 configure python-six:all 1.11.0-2 <none>
2021-12-02 16:10:30 status unpacked python-six:all 1.11.0-2
2021-12-02 16:10:30 status half-configured python-six:all 1.11.0-2
2021-12-02 16:10:30 status installed python-six:all 1.11.0-2
2021-12-02 16:10:30 trigproc mime-support:all 3.60ubuntu1 <none>
2021-12-02 16:10:30 status half-configured mime-support:all 3.60ubuntu1
2021-12-02 16:10:30 status installed mime-support:all 3.60ubuntu1
2021-12-02 16:10:30 trigproc man-db:amd64 2.8.3-2ubuntu0.1 <none>
2021-12-02 16:10:30 status half-configured man-db:amd64 2.8.3-2ubuntu0.1
2021-12-02 16:10:30 status installed man-db:amd64 2.8.3-2ubuntu0.1
2021-12-02 16:10:34 startup packages remove
2021-12-02 16:10:34 status installed grub-legacy-ec2:all 1:1
2021-12-02 16:10:34 remove grub-legacy-ec2:all 1:1 <none>
2021-12-02 16:10:34 status half-configured grub-legacy-ec2:all 1:1
2021-12-02 16:10:34 status half-installed grub-legacy-ec2:all 1:1
2021-12-02 16:10:34 status config-files grub-legacy-ec2:all 1:1
2021-12-02 16:10:34 status config-files grub-legacy-ec2:all 1:1
2021-12-02 16:10:34 status installed linux-virtual:amd64 4.15.0.163.152
2021-12-02 16:10:34 remove linux-virtual:amd64 4.15.0.163.152 <none>
2021-12-02 16:10:34 status half-configured linux-virtual:amd64 4.15.0.163.152
2021-12-02 16:10:34 status half-installed linux-virtual:amd64 4.15.0.163.152
2021-12-02 16:10:34 status config-files linux-virtual:amd64 4.15.0.163.152
2021-12-02 16:10:34 status config-files linux-virtual:amd64 4.15.0.163.152
2021-12-02 16:10:34 status config-files linux-virtual:amd64 4.15.0.163.152
2021-12-02 16:10:34 status not-installed linux-virtual:amd64 <none>
2021-12-02 16:10:34 status installed linux-headers-virtual:amd64 4.15.0.163.152
2021-12-02 16:10:34 remove linux-headers-virtual:amd64 4.15.0.163.152 <none>
2021-12-02 16:10:34 status half-configured linux-headers-virtual:amd64 4.15.0.163.152
2021-12-02 16:10:34 status half-installed linux-headers-virtual:amd64 4.15.0.163.152
2021-12-02 16:10:34 status config-files linux-headers-virtual:amd64 4.15.0.163.152
2021-12-02 16:10:34 status config-files linux-headers-virtual:amd64 4.15.0.163.152
2021-12-02 16:10:34 status config-files linux-headers-virtual:amd64 4.15.0.163.152
2021-12-02 16:10:34 status not-installed linux-headers-virtual:amd64 <none>
2021-12-02 16:10:34 status installed linux-headers-generic:amd64 4.15.0.163.152
2021-12-02 16:10:34 remove linux-headers-generic:amd64 4.15.0.163.152 <none>
2021-12-02 16:10:34 status half-configured linux-headers-generic:amd64 4.15.0.163.152
2021-12-02 16:10:34 status half-installed linux-headers-generic:amd64 4.15.0.163.152
2021-12-02 16:10:34 status config-files linux-headers-generic:amd64 4.15.0.163.152
2021-12-02 16:10:34 status config-files linux-headers-generic:amd64 4.15.0.163.152
2021-12-02 16:10:34 status config-files linux-headers-generic:amd64 4.15.0.163.152
2021-12-02 16:10:34 status not-installed linux-headers-generic:amd64 <none>
2021-12-02 16:10:34 status installed linux-headers-4.15.0-163-generic:amd64 4.15.0-163.171
2021-12-02 16:10:34 remove linux-headers-4.15.0-163-generic:amd64 4.15.0-163.171 <none>
2021-12-02 16:10:34 status half-configured linux-headers-4.15.0-163-generic:amd64 4.15.0-163.171
2021-12-02 16:10:34 status half-installed linux-headers-4.15.0-163-generic:amd64 4.15.0-163.171
2021-12-02 16:10:35 status config-files linux-headers-4.15.0-163-generic:amd64 4.15.0-163.171
2021-12-02 16:10:35 status config-files linux-headers-4.15.0-163-generic:amd64 4.15.0-163.171
2021-12-02 16:10:35 status config-files linux-headers-4.15.0-163-generic:amd64 4.15.0-163.171
2021-12-02 16:10:35 status not-installed linux-headers-4.15.0-163-generic:amd64 <none>
2021-12-02 16:10:35 status installed linux-image-virtual:amd64 4.15.0.163.152
2021-12-02 16:10:35 remove linux-image-virtual:amd64 4.15.0.163.152 <none>
2021-12-02 16:10:35 status half-configured linux-image-virtual:amd64 4.15.0.163.152
2021-12-02 16:10:35 status half-installed linux-image-virtual:amd64 4.15.0.163.152
2021-12-02 16:10:35 status config-files linux-image-virtual:amd64 4.15.0.163.152
2021-12-02 16:10:35 status config-files linux-image-virtual:amd64 4.15.0.163.152
2021-12-02 16:10:35 status config-files linux-image-virtual:amd64 4.15.0.163.152
2021-12-02 16:10:35 status not-installed linux-image-virtual:amd64 <none>
2021-12-02 16:10:35 status installed linux-image-4.15.0-163-generic:amd64 4.15.0-163.171
2021-12-02 16:10:35 remove linux-image-4.15.0-163-generic:amd64 4.15.0-163.171 <none>
2021-12-02 16:10:35 status half-configured linux-image-4.15.0-163-generic:amd64 4.15.0-163.171
2021-12-02 16:10:35 status half-installed linux-image-4.15.0-163-generic:amd64 4.15.0-163.171
2021-12-02 16:10:35 status config-files linux-image-4.15.0-163-generic:amd64 4.15.0-163.171
2021-12-02 16:10:35 status config-files linux-image-4.15.0-163-generic:amd64 4.15.0-163.171
2021-12-02 16:10:35 status installed linux-modules-4.15.0-163-generic:amd64 4.15.0-163.171
2021-12-02 16:10:35 remove linux-modules-4.15.0-163-generic:amd64 4.15.0-163.171 <none>
2021-12-02 16:10:35 status half-configured linux-modules-4.15.0-163-generic:amd64 4.15.0-163.171
2021-12-02 16:10:35 status half-installed linux-modules-4.15.0-163-generic:amd64 4.15.0-163.171
2021-12-02 16:10:35 status config-files linux-modules-4.15.0-163-generic:amd64 4.15.0-163.171
2021-12-02 16:10:35 status config-files linux-modules-4.15.0-163-generic:amd64 4.15.0-163.171
2021-12-02 16:10:35 startup archives unpack
2021-12-02 16:10:35 install libwbclient0:amd64 <none> 2:4.7.6+dfsg~ubuntu-0ubuntu2.24
2021-12-02 16:10:35 status triggers-pending libc-bin:amd64 2.27-3ubuntu1.4
2021-12-02 16:10:35 status half-installed libwbclient0:amd64 2:4.7.6+dfsg~ubuntu-0ubuntu2.24
2021-12-02 16:10:35 status unpacked libwbclient0:amd64 2:4.7.6+dfsg~ubuntu-0ubuntu2.24
2021-12-02 16:10:35 status unpacked libwbclient0:amd64 2:4.7.6+dfsg~ubuntu-0ubuntu2.24
2021-12-02 16:10:35 install samba-common:all <none> 2:4.7.6+dfsg~ubuntu-0ubuntu2.24
2021-12-02 16:10:35 status half-installed samba-common:all 2:4.7.6+dfsg~ubuntu-0ubuntu2.24
2021-12-02 16:10:35 status unpacked samba-common:all 2:4.7.6+dfsg~ubuntu-0ubuntu2.24
2021-12-02 16:10:35 status unpacked samba-common:all 2:4.7.6+dfsg~ubuntu-0ubuntu2.24
2021-12-02 16:10:35 install libtalloc2:amd64 <none> 2.1.10-2ubuntu1
2021-12-02 16:10:35 status half-installed libtalloc2:amd64 2.1.10-2ubuntu1
2021-12-02 16:10:35 status unpacked libtalloc2:amd64 2.1.10-2ubuntu1
2021-12-02 16:10:35 status unpacked libtalloc2:amd64 2.1.10-2ubuntu1
2021-12-02 16:10:35 install cifs-utils:amd64 <none> 2:6.8-1ubuntu1.1
2021-12-02 16:10:35 status half-installed cifs-utils:amd64 2:6.8-1ubuntu1.1
2021-12-02 16:10:35 status triggers-pending man-db:amd64 2.8.3-2ubuntu0.1
2021-12-02 16:10:35 status unpacked cifs-utils:amd64 2:6.8-1ubuntu1.1
2021-12-02 16:10:35 status unpacked cifs-utils:amd64 2:6.8-1ubuntu1.1
2021-12-02 16:10:35 install libnl-3-200:amd64 <none> 3.2.29-0ubuntu3
2021-12-02 16:10:35 status half-installed libnl-3-200:amd64 3.2.29-0ubuntu3
2021-12-02 16:10:35 status unpacked libnl-3-200:amd64 3.2.29-0ubuntu3
2021-12-02 16:10:35 status unpacked libnl-3-200:amd64 3.2.29-0ubuntu3
2021-12-02 16:10:35 install libnl-genl-3-200:amd64 <none> 3.2.29-0ubuntu3
2021-12-02 16:10:35 status half-installed libnl-genl-3-200:amd64 3.2.29-0ubuntu3
2021-12-02 16:10:35 status unpacked libnl-genl-3-200:amd64 3.2.29-0ubuntu3
2021-12-02 16:10:35 status unpacked libnl-genl-3-200:amd64 3.2.29-0ubuntu3
2021-12-02 16:10:35 install wireless-regdb:all <none> 2021.08.28-0ubuntu1~18.04.1
2021-12-02 16:10:35 status half-installed wireless-regdb:all 2021.08.28-0ubuntu1~18.04.1
2021-12-02 16:10:35 status unpacked wireless-regdb:all 2021.08.28-0ubuntu1~18.04.1
2021-12-02 16:10:35 status unpacked wireless-regdb:all 2021.08.28-0ubuntu1~18.04.1
2021-12-02 16:10:35 install iw:amd64 <none> 4.14-0.1
2021-12-02 16:10:35 status half-installed iw:amd64 4.14-0.1
2021-12-02 16:10:35 status unpacked iw:amd64 4.14-0.1
2021-12-02 16:10:35 status unpacked iw:amd64 4.14-0.1
2021-12-02 16:10:35 install crda:amd64 <none> 3.18-1build1
2021-12-02 16:10:35 status half-installed crda:amd64 3.18-1build1
2021-12-02 16:10:35 status unpacked crda:amd64 3.18-1build1
2021-12-02 16:10:35 status unpacked crda:amd64 3.18-1build1
2021-12-02 16:10:35 install libavahi-common-data:amd64 <none> 0.7-3.1ubuntu1.3
2021-12-02 16:10:35 status half-installed libavahi-common-data:amd64 0.7-3.1ubuntu1.3
2021-12-02 16:10:35 status unpacked libavahi-common-data:amd64 0.7-3.1ubuntu1.3
2021-12-02 16:10:35 status unpacked libavahi-common-data:amd64 0.7-3.1ubuntu1.3
2021-12-02 16:10:35 install libavahi-common3:amd64 <none> 0.7-3.1ubuntu1.3
2021-12-02 16:10:35 status half-installed libavahi-common3:amd64 0.7-3.1ubuntu1.3
2021-12-02 16:10:35 status unpacked libavahi-common3:amd64 0.7-3.1ubuntu1.3
2021-12-02 16:10:35 status unpacked libavahi-common3:amd64 0.7-3.1ubuntu1.3
2021-12-02 16:10:36 install libavahi-client3:amd64 <none> 0.7-3.1ubuntu1.3
2021-12-02 16:10:36 status half-installed libavahi-client3:amd64 0.7-3.1ubuntu1.3
2021-12-02 16:10:36 status unpacked libavahi-client3:amd64 0.7-3.1ubuntu1.3
2021-12-02 16:10:36 status unpacked libavahi-client3:amd64 0.7-3.1ubuntu1.3
2021-12-02 16:10:36 install libcups2:amd64 <none> 2.2.7-1ubuntu2.8
2021-12-02 16:10:36 status half-installed libcups2:amd64 2.2.7-1ubuntu2.8
2021-12-02 16:10:36 status unpacked libcups2:amd64 2.2.7-1ubuntu2.8
2021-12-02 16:10:36 status unpacked libcups2:amd64 2.2.7-1ubuntu2.8
2021-12-02 16:10:36 install libdw1:amd64 <none> 0.170-0.4ubuntu0.1
2021-12-02 16:10:36 status half-installed libdw1:amd64 0.170-0.4ubuntu0.1
2021-12-02 16:10:36 status unpacked libdw1:amd64 0.170-0.4ubuntu0.1
2021-12-02 16:10:36 status unpacked libdw1:amd64 0.170-0.4ubuntu0.1
2021-12-02 16:10:36 install libjansson4:amd64 <none> 2.11-1
2021-12-02 16:10:36 status half-installed libjansson4:amd64 2.11-1
2021-12-02 16:10:36 status unpacked libjansson4:amd64 2.11-1
2021-12-02 16:10:36 status unpacked libjansson4:amd64 2.11-1
2021-12-02 16:10:36 install libtdb1:amd64 <none> 1.3.15-2
2021-12-02 16:10:36 status half-installed libtdb1:amd64 1.3.15-2
2021-12-02 16:10:36 status unpacked libtdb1:amd64 1.3.15-2
2021-12-02 16:10:36 status unpacked libtdb1:amd64 1.3.15-2
2021-12-02 16:10:36 install libtevent0:amd64 <none> 0.9.34-1
2021-12-02 16:10:36 status half-installed libtevent0:amd64 0.9.34-1
2021-12-02 16:10:36 status unpacked libtevent0:amd64 0.9.34-1
2021-12-02 16:10:36 status unpacked libtevent0:amd64 0.9.34-1
2021-12-02 16:10:36 install libldb1:amd64 <none> 2:1.2.3-1ubuntu0.2
2021-12-02 16:10:36 status half-installed libldb1:amd64 2:1.2.3-1ubuntu0.2
2021-12-02 16:10:36 status unpacked libldb1:amd64 2:1.2.3-1ubuntu0.2
2021-12-02 16:10:36 status unpacked libldb1:amd64 2:1.2.3-1ubuntu0.2
2021-12-02 16:10:36 install libpython2.7:amd64 <none> 2.7.17-1~18.04ubuntu1.6
2021-12-02 16:10:36 status half-installed libpython2.7:amd64 2.7.17-1~18.04ubuntu1.6
2021-12-02 16:10:36 status unpacked libpython2.7:amd64 2.7.17-1~18.04ubuntu1.6
2021-12-02 16:10:36 status unpacked libpython2.7:amd64 2.7.17-1~18.04ubuntu1.6
2021-12-02 16:10:36 install linux-base-sgx:all <none> 4.5ubuntu1.7
2021-12-02 16:10:36 status half-installed linux-base-sgx:all 4.5ubuntu1.7
2021-12-02 16:10:36 status unpacked linux-base-sgx:all 4.5ubuntu1.7
